driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
PER,Red Bull Racing,2.0,finished,0
SAI,Ferrari,3.0,finished,0
LEC,Ferrari,4.0,finished,0
NOR,McLaren,5.0,finished,0
ALO,Aston Martin,6.0,finished,0
RUS,Mercedes,7.0,finished,0
PIA,McLaren,8.0,finished,0
HAM,Mercedes,9.0,finished,0
TSU,RB,10.0,lapped,0
HUL,Haas F1 Team,11.0,lapped,0
STR,Aston Martin,12.0,lapped,0
MAG,Haas F1 Team,13.0,lapped,0
BOT,Kick Sauber,14.0,lapped,0
OCO,Alpine,15.0,lapped,0
GAS,Alpine,16.0,lapped,0
SAR,Williams,17.0,lapped,0
ZHO,Kick Sauber,,retired,1
RIC,RB,,retired,1
ALB,Williams,,retired,1
