driver,driver_number,team,position,q1,q2,q3
LEC,16,Ferrari,1.0,0 days 00:01:41.269000,0 days 00:01:41.037000,0 days 00:01:40.203000
VER,1,Red Bull Racing,2.0,0 days 00:01:41.398000,0 days 00:01:40.822000,0 days 00:01:40.391000
PER,11,Red Bull Racing,3.0,0 days 00:01:41.756000,0 days 00:01:41.131000,0 days 00:01:40.495000
SAI,55,Ferrari,4.0,0 days 00:01:42.197000,0 days 00:01:41.369000,0 days 00:01:41.016000
HAM,44,Mercedes,5.0,0 days 00:01:42.113000,0 days 00:01:41.650000,0 days 00:01:41.177000
ALO,14,Aston Martin,6.0,0 days 00:01:41.720000,0 days 00:01:41.370000,0 days 00:01:41.253000
NOR,4,McLaren,7.0,0 days 00:01:42.154000,0 days 00:01:41.485000,0 days 00:01:41.281000
TSU,22,AlphaTauri,8.0,0 days 00:01:42.234000,0 days 00:01:41.569000,0 days 00:01:41.581000
STR,18,Aston Martin,9.0,0 days 00:01:42.524000,0 days 00:01:41.576000,0 days 00:01:41.611000
PIA,81,McLaren,10.0,0 days 00:01:42.455000,0 days 00:01:41.636000,0 days 00:01:41.611000
RUS,63,Mercedes,11.0,0 days 00:01:42.073000,0 days 00:01:41.654000,
OCO,31,Alpine,12.0,0 days 00:01:42.622000,0 days 00:01:41.798000,
ALB,23,Williams,13.0,0 days 00:01:42.171000,0 days 00:01:41.818000,
BOT,77,Alfa Romeo,14.0,0 days 00:01:42.582000,0 days 00:01:42.259000,
SAR,2,Williams,15.0,0 days 00:01:42.242000,0 days 00:01:42.395000,
ZHO,24,Alfa Romeo,16.0,0 days 00:01:42.642000,,
HUL,27,Haas F1 Team,17.0,0 days 00:01:42.755000,,
MAG,20,Haas F1 Team,18.0,0 days 00:01:43.417000,,
GAS,10,Alpine,19.0,0 days 00:01:44.853000,,
DEV,21,AlphaTauri,20.0,0 days 00:01:55.282000,,
