driver,team,position,status,dnf_flag
RUS,Mercedes,1.0,finished,0
VER,Red Bull Racing,2.0,finished,0
NOR,McLaren,3.0,finished,0
PIA,McLaren,4.0,finished,0
ANT,Mercedes,5.0,finished,0
LEC,Ferrari,6.0,finished,0
ALO,Aston Martin,7.0,finished,0
HAM,Ferrari,8.0,finished,0
BEA,Haas F1 Team,9.0,finished,0
SAI,Williams,10.0,lapped,0
HAD,Racing Bulls,11.0,lapped,0
TSU,Red Bull Racing,12.0,lapped,0
STR,Aston Martin,13.0,lapped,0
ALB,Williams,14.0,lapped,0
LAW,Racing Bulls,15.0,lapped,0
COL,Alpine,16.0,lapped,0
BOR,Kick Sauber,17.0,lapped,0
OCO,Haas F1 Team,18.0,lapped,0
GAS,Alpine,19.0,lapped,0
HUL,Kick Sauber,20.0,lapped,0
