driver,driver_number,team,position,q1,q2,q3
PER,11,Red Bull Racing,1.0,0 days 00:01:29.244000,0 days 00:01:28.635000,0 days 00:01:28.265000
LEC,16,Ferrari,2.0,0 days 00:01:29.376000,0 days 00:01:28.903000,0 days 00:01:28.420000
ALO,14,Aston Martin,3.0,0 days 00:01:29.298000,0 days 00:01:28.757000,0 days 00:01:28.730000
RUS,63,Mercedes,4.0,0 days 00:01:29.592000,0 days 00:01:29.132000,0 days 00:01:28.857000
SAI,55,Ferrari,5.0,0 days 00:01:29.411000,0 days 00:01:28.957000,0 days 00:01:28.931000
STR,18,Aston Martin,6.0,0 days 00:01:29.335000,0 days 00:01:28.962000,0 days 00:01:28.945000
OCO,31,Alpine,7.0,0 days 00:01:29.707000,0 days 00:01:29.255000,0 days 00:01:29.078000
HAM,44,Mercedes,8.0,0 days 00:01:29.689000,0 days 00:01:29.374000,0 days 00:01:29.223000
PIA,81,McLaren,9.0,0 days 00:01:29.706000,0 days 00:01:29.378000,0 days 00:01:29.243000
GAS,10,Alpine,10.0,0 days 00:01:29.890000,0 days 00:01:29.411000,0 days 00:01:29.357000
HUL,27,Haas F1 Team,11.0,0 days 00:01:29.547000,0 days 00:01:29.451000,
ZHO,24,Alfa Romeo,12.0,0 days 00:01:29.654000,0 days 00:01:29.461000,
MAG,20,Haas F1 Team,13.0,0 days 00:01:29.744000,0 days 00:01:29.634000,
BOT,77,Alfa Romeo,14.0,0 days 00:01:29.929000,0 days 00:01:29.668000,
VER,1,Red Bull Racing,15.0,0 days 00:01:28.761000,0 days 00:01:49.953000,
TSU,22,AlphaTauri,16.0,0 days 00:01:29.939000,,
ALB,23,Williams,17.0,0 days 00:01:29.994000,,
DEV,21,AlphaTauri,18.0,0 days 00:01:30.244000,,
NOR,4,McLaren,19.0,0 days 00:01:30.447000,,
SAR,2,Williams,20.0,0 days 00:02:08.510000,,
